"Município de residência";"2018";"2019";"2020";"2021";"2022";"2023";"Total"
"410870 GRANDES RIOS";-;1;-;-;-;-;1
"410880 GUAIRA";16;16;13;10;18;20;93
"410890 GUAIRACA";3;3;3;2;1;-;12
"410895 GUAMIRANGA";-;-;-;3;-;1;4
"410900 GUAPIRAMA";2;1;-;1;-;7;11
"410920 GUARACI";-;-;-;2;-;-;2
"410930 GUARANIACU";2;-;3;2;2;1;10
"410940 GUARAPUAVA";29;30;38;15;33;41;186
"410950 GUARAQUECABA";5;-;4;3;7;6;25
"410960 GUARATUBA";24;28;21;17;36;22;148
"410965 HONORIO SERPA";-;-;-;-;2;-;2
"410970 IBAITI";10;14;16;12;13;9;74
"410975 IBEMA";2;2;2;-;1;1;8
"410980 IBIPORA";25;35;30;26;32;24;172
"410990 ICARAIMA";3;2;1;3;3;1;13
"411000 IGUARACU";-;-;2;1;1;1;5
"411005 IGUATU";1;-;-;-;-;2;3
"411007 IMBAU";4;-;1;1;4;7;17
"411010 IMBITUVA";4;3;1;-;2;2;12
"411020 INACIO MARTINS";2;1;-;1;-;-;4
"411030 INAJA";-;-;-;1;-;1;2
"411040 INDIANOPOLIS";-;-;2;-;-;1;3
"411050 IPIRANGA";2;1;2;2;4;-;11
"411060 IPORA";8;5;2;1;1;2;19
"411065 IRACEMA DO OESTE";-;-;-;-;1;1;2
"411070 IRATI";7;7;18;10;14;11;67
"411080 IRETAMA";3;4;3;1;1;3;15
"411090 ITAGUAJE";-;2;1;1;-;2;6
"411095 ITAIPULANDIA";3;2;1;-;1;2;9
"411100 ITAMBARACA";2;2;-;3;-;3;10
"411110 ITAMBE";-;-;-;-;-;2;2
"411120 ITAPEJARA D'OESTE";-;1;1;1;-;-;3
"411125 ITAPERUCU";2;4;5;6;1;4;22
"411130 ITAUNA DO SUL";-;-;1;-;-;1;2
"411140 IVAI";-;2;1;-;1;-;4
"411150 IVAIPORA";5;11;8;10;5;5;44
"411155 IVATE";1;-;1;-;-;1;3
"411160 IVATUBA";2;-;-;-;1;-;3
"411170 JABOTI";-;-;1;-;1;-;2
"411180 JACAREZINHO";16;29;24;17;18;23;127
"411190 JAGUAPITA";11;6;7;3;7;25;59
"411200 JAGUARIAIVA";7;8;6;6;3;8;38
"411210 JANDAIA DO SUL";6;-;6;1;3;3;19
"411220 JANIOPOLIS";1;2;2;2;1;1;9
"411230 JAPIRA";-;-;1;1;3;1;6
"411240 JAPURA";-;1;1;1;-;1;4
"411250 JARDIM ALEGRE";-;2;2;2;1;1;8
"411260 JARDIM OLINDA";-;1;-;-;1;1;3
"411270 JATAIZINHO";16;10;3;6;6;7;48
"411275 JESUITAS";1;2;-;1;1;-;5
"411280 JOAQUIM TAVORA";1;1;5;-;1;2;10
"411290 JUNDIAI DO SUL";1;2;1;-;-;2;6
"411295 JURANDA";1;1;2;1;-;1;6
"411300 JUSSARA";-;1;2;-;2;1;6
"411310 KALORE";2;1;-;-;-;1;4
"411320 LAPA";5;5;3;6;16;18;53
